time,a,e,i,Omega,omega,theta,tp
2023-10-11 00:00:00.000000,6753652.704490062,0.0009225921352580985,0.7241281243896063,2.9738663549697413,2.525279409449283,-0.3657435787881558,2023-10-11 00:05:20.946099
2023-10-11 00:04:00.000000,6751822.694004128,0.0007105946634044458,0.7239761116691154,2.9733901038163175,2.727673066187429,-0.8419214380676054,2023-10-11 00:16:18.902668
2023-10-11 00:08:00.000000,6750999.236843278,0.00073803580488463,0.7239089265699651,2.9728227338133606,2.9360541984307353,-1.3240487040541873,2023-10-11 00:27:22.030363
2023-10-11 00:11:59.999999,6751389.07603475,0.000853454665709846,0.7239455650588106,2.972242324329138,2.8834026637222743,-1.5450422122306597,2023-10-11 00:34:36.067397
2023-10-11 00:15:59.999999,6752869.6631280435,0.0009085636437904245,0.7240753391178788,2.9717323732835284,2.637366253453137,-1.5724911737808636,2023-10-11 00:39:00.542341
2023-10-11 00:20:00.000000,6755062.653184525,0.0008663903699993327,0.7242614450094543,2.9713536041886908,2.271089766367817,-1.4795054030322365,2023-10-11 00:41:39.525935
2023-10-11 00:24:00.000000,6757387.381301556,0.0007350752087477424,0.7244502674255395,2.9711311340023197,1.8040675072150008,-1.2855765069473208,2023-10-11 00:42:49.849230
2023-10-11 00:27:59.999999,6759094.065540692,0.0005418233867839077,0.7245869303919552,2.9710445353669828,1.229472452461246,-0.983911114685653,2023-10-11 00:42:25.209622
2023-10-11 00:31:59.999999,6759633.018985898,0.0003295270229860279,0.7246294317725679,2.9710338179649125,0.4085409209434679,-0.3812724751713665,2023-10-11 00:37:35.406811
2023-10-11 00:36:00.000000,6758849.6508411635,0.00025934595894204997,0.7245673376061258,2.9710146763014356,1.0565536382429954,-0.756472406240879,2023-10-11 00:47:05.470757
2023-10-11 00:40:00.000000,6757025.268166375,0.0004535463995716604,0.7244188291990636,2.970906431253949,2.1304875506621066,-1.5575278473205278,2023-10-11 01:02:49.453425
2023-10-11 00:43:59.999999,6754704.372443127,0.0006773546732684382,0.7242265222383301,2.970653591846134,2.693367926432031,-1.8473979319302674,2023-10-11 01:11:03.284225
2023-10-11 00:47:59.999999,6752548.052166075,0.0008171908992077202,0.7240472749886638,2.97024439841342,3.0792114659072984,-1.9600644791868516,2023-10-11 01:16:41.344308
2023-10-11 00:52:00.000000,6751149.788208736,0.0008278478651645374,0.7239336413286779,2.9697144286644925,2.9398086612774263,-1.5473194380352062,2023-10-11 01:14:38.041002
2023-10-11 00:56:00.000000,6750925.137628174,0.000720686979137283,0.7239176568727557,2.969130553985921,2.8546731087918022,-1.1887044819527859,2023-10-11 01:13:23.184539
2023-10-11 00:59:59.999999,6751958.117690312,0.000636518461679641,0.72400399358821,2.968575342727606,3.0853440612633536,-1.1458039249984404,2023-10-11 01:16:45.880283
2023-10-11 01:03:59.999999,6753902.337515719,0.0007996401044359502,0.7241691175364869,2.9681215497868765,2.870364083949872,-0.6572074855221572,2023-10-11 01:13:36.925820
2023-10-11 01:08:00.000000,6756218.890790508,0.001157497444637976,0.7243662857776996,2.9678168074540925,2.819997838579863,-0.33321915137041946,2023-10-11 01:12:52.435057
2023-10-11 01:12:00.000000,6758228.89038691,0.0015073952425515463,0.7245395565085844,2.9676640991683714,2.94869694617139,-0.18830867672669305,2023-10-11 01:14:45.214705
2023-10-11 01:15:59.999899,6759355.066600992,0.0017237473822434317,0.7246365602124542,2.9676238386420635,3.1343947648536092,-0.1004063184009043,2023-10-11 01:17:28.075310
2023-10-11 01:19:59.999999,6759260.463138008,0.0017440542438173058,0.7246273126815101,2.9676195950560604,2.9127501267290605,0.06283341470724046,2023-10-11 01:19:04.886750
2023-10-11 01:24:00.000000,6757959.540555387,0.0015641811972015624,0.7245168310864062,2.9675638386434104,2.7016299388843987,0.0002999729834995968,2023-10-11 01:23:59.736866
2023-10-11 01:28:00.000000,6755857.099652134,0.001243067070338888,0.724339567350141,2.9673862333358496,2.5448989617022177,-0.11667820053644284,2023-10-11 01:29:42.367928
2023-10-11 01:31:59.999899,6753565.427570513,0.0008929936849163469,0.7241472962126047,2.9670520208452236,2.524871488330633,-0.370409738576325,2023-10-11 01:37:25.053483
2023-10-11 01:35:59.999999,6751760.3681782335,0.0006881033655337565,0.7239958950410184,2.9665713069821216,2.7386277986622742,-0.8579437576875466,2023-10-11 01:48:32.988441
2023-10-11 01:40:00.000000,6750973.213686166,0.0007236895463206327,0.7239301751139817,2.9660001757253798,2.9474301357477795,-1.3404871146739972,2023-10-11 01:59:36.485572
2023-10-11 01:44:00.000000,6751419.987133291,0.000837569733865714,0.7239687747637701,2.965419873953915,2.88142869605398,-1.5481255461434256,2023-10-11 02:06:38.813724
2023-10-11 01:47:59.999899,6752941.430059257,0.0008881536885682462,0.7241001609915839,2.9649112024487567,2.623385097047044,-1.5635645224371475,2023-10-11 02:10:52.753980
2023-10-11 01:51:59.999999,6755095.611653998,0.0008400285814689886,0.7242858154101305,2.964537090416366,2.2526618112342134,-1.4661299945783108,2023-10-11 02:13:27.821441
2023-10-11 01:56:00.000000,6757302.179599334,0.0007098731313520423,0.7244719763440384,2.9643199312610315,1.7903260287083338,-1.2768871824538732,2023-10-11 02:14:42.228513
2023-10-11 02:00:00.000000,6758995.248869021,0.0005279273169138905,0.7246060843065746,2.9642362643652933,1.2001934661696714,-0.9596879907958089,2023-10-11 02:14:03.903837
2023-10-11 02:03:59.999899,6759578.719978349,0.0003363309992992628,0.7246473858242936,2.9642259567863314,0.3442279318187978,-0.3118946557946513,2023-10-11 02:08:34.366374
